property_type,price,size,location,rooms,floor,title,seller_type
2-комнатная квартира,19500000 ₸,55 м²,Сеченова 7а — Возле Областной больницы,2,5/5,2-комнатная квартира · 55 м² · 5/5 этаж,Other
3-комнатная квартира,61000000 ₸,84 м²,"Наурызбайский р-н, мкр Рахат, Култобе 24/1-24/10",3,1/4,3-комнатная квартира · 84 м² · 1/4 этаж,Other
3-комнатная квартира,11500000 ₸,58 м²,Абай 30,3,4/5,3-комнатная квартира · 58 м² · 4/5 этаж,Other
4-комнатная квартира,155000000 ₸,165 м²,"Ауэзовский р-н, мкр Мамыр-7 — Момышулы шаляпина",4,5/12,4-комнатная квартира · 165 м² · 5/12 этаж,Other
3-комнатная квартира,41350000 ₸,100 м²,Д.Конаева 17,3,4/5,3-комнатная квартира · 100 м² · 4/5 этаж,Other
2-комнатная квартира,37200000 ₸,55.02 м²,"Наурызбайский р-н, Бауыржана Момышулы 11/14а",2,2/6,2-комнатная квартира · 55.02 м² · 2/6 этаж,Other
2-комнатная квартира,36000000 ₸,66.1 м²,"Алатауский р-н, мкр Аккент 59",2,10/16,2-комнатная квартира · 66.1 м² · 10/16 этаж,Other
2-комнатная квартира,20300000 ₸,37 м²,"Есильский р-н, Рыскулова 16/3",2,17/17,2-комнатная квартира · 37 м² · 17/17 этаж,Other
2-комнатная квартира,55000000 ₸,80 м²,"Алмалинский р-н, Чайковского 22а",2,5/10,2-комнатная квартира · 80 м² · 5/10 этаж,Other
1-комнатная квартира,12000000 ₸,36 м²,Спутник,1,5/5,1-комнатная квартира · 36 м² · 5/5 этаж,Other
3-комнатная квартира,35000000 ₸,60 м²,"Турксибский р-н, мкр Алтай-1 22",3,2/4,3-комнатная квартира · 60 м² · 2/4 этаж,Other
2-комнатная квартира,19200000 ₸,45.2 м²,"Казыбек би р-н, мкр Новый Город, Бухар Жырау 75 — 45-квартал",2,3/5,2-комнатная квартира · 45.2 м² · 3/5 этаж,Other
3-комнатная квартира,40000000 ₸,85 м²,"Есильский р-н, Бухар Жирау 32",3,5/13,3-комнатная квартира · 85 м² · 5/13 этаж,Other
2-комнатная квартира,29500000 ₸,78.2 м²,"Кошевого 2/7 — Находится в районе 2-го рабочего, Досав",2,5/5,2-комнатная квартира · 78.2 м² · 5/5 этаж,Other
2-комнатная квартира,34500000 ₸,72.7 м²,Байтерекова 85,2,12/13,2-комнатная квартира · 72.7 м² · 12/13 этаж,Other
2-комнатная квартира,28000000 ₸,50.2 м²,"Сарайшык р-н, Нажимеденова 34/2",2,6/12,2-комнатная квартира · 50.2 м² · 6/12 этаж,Other
2-комнатная квартира,35800000 ₸,47 м²,"Нура р-н, Е-34 4",2,4/9,2-комнатная квартира · 47 м² · 4/9 этаж,Other
3-комнатная квартира,78000000 ₸,76 м²,"Бостандыкский р-н, мкр Коктем-3 24 — ул. Мусрепова выше ул. Сатпаева",3,13/16,3-комнатная квартира · 76 м² · 13/16 этаж,Other
2-комнатная квартира,26500000 ₸,51.7 м²,3 мкр 26 — Аквапарк Пентагон,2,2/9,2-комнатная квартира · 51.7 м² · 2/9 этаж,Other
3-комнатная квартира,180000000 ₸,98 м²,"Медеуский р-н, мкр Коктобе, Сагадат Нурмагамбетова 142",3,5/5,3-комнатная квартира · 98 м² · 5/5 этаж,Other
2-комнатная квартира,51999000 ₸,60 м²,"Есильский р-н, Туран 52/2, 52/3",2,15/17,2-комнатная квартира · 60 м² · 15/17 этаж,Other
3-комнатная квартира,20000000 ₸,68.6 м²,Карасай батыра 40,3,2/5,3-комнатная квартира · 68.6 м² · 2/5 этаж,Other
2-комнатная квартира,57500000 ₸,63 м²,"Есильский р-н, Мангилик Ел 68 — Бизнес класс",2,5/9,2-комнатная квартира · 63 м² · 5/9 этаж,Other
2-комнатная квартира,38500000 ₸,50 м²,"Есильский р-н, Туран 52/2, 52/3",2,6/17,2-комнатная квартира · 50 м² · 6/17 этаж,Other
2-комнатная квартира,29500000 ₸,41 м²,"Нура р-н, Е-36 11 — с техникой",2,13/18,2-комнатная квартира · 41 м² · 13/18 этаж,Other
2-комнатная квартира,42000000 ₸,55 м²,"Ауэзовский р-н, мкр Аксай-5, Б. Момышулы 25",2,2/9,2-комнатная квартира · 55 м² · 2/9 этаж,Other
2-комнатная квартира,21000000 ₸,43.9 м²,Абая 25 25 — Жансугурова,2,3/5,2-комнатная квартира · 43.9 м² · 3/5 этаж,Other
3-комнатная квартира,23500000 ₸,84 м²,"16-й мкр , 16 мкрн 49",3,12/12,3-комнатная квартира · 84 м² · 12/12 этаж,Other
2-комнатная квартира,10500000 ₸,54.4 м²,Пр. республики 11 — Маг. Парадис,2,4/4,2-комнатная квартира · 54.4 м² · 4/4 этаж,Other
2-комнатная квартира,9800000 ₸,50 м²,Ақмешіт 23,2,4/5,2-комнатная квартира · 50 м² · 4/5 этаж,Other
1-комнатная квартира,9500000 ₸,36 м²,Мынбұлақ 50,1,3/5,1-комнатная квартира · 36 м² · 3/5 этаж,Other
2-комнатная квартира,46000000 ₸,66 м²,"Алмалинский р-н, Брусиловского 167 — Брусиловского/Шакарима",2,17/19,2-комнатная квартира · 66 м² · 17/19 этаж,Other
1-комнатная квартира,35000000 ₸,44 м²,"Ауэзовский р-н, Утеген батыра",1,6/13,1-комнатная квартира · 44 м² · 6/13 этаж,Other
2-комнатная квартира,29000000 ₸,69 м²,"мкр Нурсая, Т. Жумагалиева — 5 подъезд",2,2/10,2-комнатная квартира · 69 м² · 2/10 этаж,Other
2-комнатная квартира,40000000 ₸,45 м²,"Бостандыкский р-н, Арайлы 12 — РЕМИЗОВКА",2,7/8,2-комнатная квартира · 45 м² · 7/8 этаж,Other
3-комнатная квартира,20000000 ₸,65 м²,"мкр 4, 4 мик 10а 10а",3,9/10,3-комнатная квартира · 65 м² · 9/10 этаж,Other
2-комнатная квартира,31900000 ₸,81 м²,Кунаева 39,2,14/15,2-комнатная квартира · 81 м² · 14/15 этаж,Other
2-комнатная квартира,66000000 ₸,76.7 м²,"Бостандыкский р-н, Ходжанова",2,14/20,2-комнатная квартира · 76.7 м² · 14/20 этаж,Other
3-комнатная квартира,66500000 ₸,100.3 м²,"Есильский р-н, Улы Дала 18-22",3,4/5,3-комнатная квартира · 100.3 м² · 4/5 этаж,Other
3-комнатная квартира,31900000 ₸,59 м²,"Есильский р-н, Керей Жанибек 9",3,8/9,3-комнатная квартира · 59 м² · 8/9 этаж,Other
