property_type,price,size,location,rooms,floor,title,seller_type,size_num,price_per_m2
2-комнатная квартира,19500000,55 м²,Сеченова 7а — Возле Областной больницы,2,5/5,2-комнатная квартира · 55 м² · 5/5 этаж,Other,55.0,354545.45454545453
3-комнатная квартира,61000000,84 м²,"Наурызбайский р-н, мкр Рахат, Култобе 24/1-24/10",3,1/4,3-комнатная квартира · 84 м² · 1/4 этаж,Other,84.0,726190.4761904762
3-комнатная квартира,11500000,58 м²,Абай 30,3,4/5,3-комнатная квартира · 58 м² · 4/5 этаж,Other,58.0,198275.8620689655
4-комнатная квартира,155000000,165 м²,"Ауэзовский р-н, мкр Мамыр-7 — Момышулы шаляпина",4,5/12,4-комнатная квартира · 165 м² · 5/12 этаж,Other,165.0,939393.9393939395
3-комнатная квартира,41350000,100 м²,Д.Конаева 17,3,4/5,3-комнатная квартира · 100 м² · 4/5 этаж,Other,100.0,413500.0
2-комнатная квартира,37200000,55.02 м²,"Наурызбайский р-н, Бауыржана Момышулы 11/14а",2,2/6,2-комнатная квартира · 55.02 м² · 2/6 этаж,Other,55.02,676117.7753544166
2-комнатная квартира,36000000,66.1 м²,"Алатауский р-н, мкр Аккент 59",2,10/16,2-комнатная квартира · 66.1 м² · 10/16 этаж,Other,66.1,544629.3494704993
2-комнатная квартира,20300000,37 м²,"Есильский р-н, Рыскулова 16/3",2,17/17,2-комнатная квартира · 37 м² · 17/17 этаж,Other,37.0,548648.6486486486
2-комнатная квартира,55000000,80 м²,"Алмалинский р-н, Чайковского 22а",2,5/10,2-комнатная квартира · 80 м² · 5/10 этаж,Other,80.0,687500.0
1-комнатная квартира,12000000,36 м²,Спутник,1,5/5,1-комнатная квартира · 36 м² · 5/5 этаж,Other,36.0,333333.3333333333
3-комнатная квартира,35000000,60 м²,"Турксибский р-н, мкр Алтай-1 22",3,2/4,3-комнатная квартира · 60 м² · 2/4 этаж,Other,60.0,583333.3333333334
2-комнатная квартира,19200000,45.2 м²,"Казыбек би р-н, мкр Новый Город, Бухар Жырау 75 — 45-квартал",2,3/5,2-комнатная квартира · 45.2 м² · 3/5 этаж,Other,45.2,424778.76106194686
3-комнатная квартира,40000000,85 м²,"Есильский р-н, Бухар Жирау 32",3,5/13,3-комнатная квартира · 85 м² · 5/13 этаж,Other,85.0,470588.23529411765
2-комнатная квартира,29500000,78.2 м²,"Кошевого 2/7 — Находится в районе 2-го рабочего, Досав",2,5/5,2-комнатная квартира · 78.2 м² · 5/5 этаж,Other,78.2,377237.8516624041
2-комнатная квартира,34500000,72.7 м²,Байтерекова 85,2,12/13,2-комнатная квартира · 72.7 м² · 12/13 этаж,Other,72.7,474552.9573590096
2-комнатная квартира,28000000,50.2 м²,"Сарайшык р-н, Нажимеденова 34/2",2,6/12,2-комнатная квартира · 50.2 м² · 6/12 этаж,Other,50.2,557768.9243027888
2-комнатная квартира,35800000,47 м²,"Нура р-н, Е-34 4",2,4/9,2-комнатная квартира · 47 м² · 4/9 этаж,Other,47.0,761702.1276595745
3-комнатная квартира,78000000,76 м²,"Бостандыкский р-н, мкр Коктем-3 24 — ул. Мусрепова выше ул. Сатпаева",3,13/16,3-комнатная квартира · 76 м² · 13/16 этаж,Other,76.0,1026315.7894736842
2-комнатная квартира,26500000,51.7 м²,3 мкр 26 — Аквапарк Пентагон,2,2/9,2-комнатная квартира · 51.7 м² · 2/9 этаж,Other,51.7,512572.53384912957
3-комнатная квартира,180000000,98 м²,"Медеуский р-н, мкр Коктобе, Сагадат Нурмагамбетова 142",3,5/5,3-комнатная квартира · 98 м² · 5/5 этаж,Other,98.0,1836734.693877551
2-комнатная квартира,51999000,60 м²,"Есильский р-н, Туран 52/2, 52/3",2,15/17,2-комнатная квартира · 60 м² · 15/17 этаж,Other,60.0,866650.0
3-комнатная квартира,20000000,68.6 м²,Карасай батыра 40,3,2/5,3-комнатная квартира · 68.6 м² · 2/5 этаж,Other,68.6,291545.1895043732
2-комнатная квартира,57500000,63 м²,"Есильский р-н, Мангилик Ел 68 — Бизнес класс",2,5/9,2-комнатная квартира · 63 м² · 5/9 этаж,Other,63.0,912698.4126984127
2-комнатная квартира,38500000,50 м²,"Есильский р-н, Туран 52/2, 52/3",2,6/17,2-комнатная квартира · 50 м² · 6/17 этаж,Other,50.0,770000.0
2-комнатная квартира,29500000,41 м²,"Нура р-н, Е-36 11 — с техникой",2,13/18,2-комнатная квартира · 41 м² · 13/18 этаж,Other,41.0,719512.1951219512
2-комнатная квартира,42000000,55 м²,"Ауэзовский р-н, мкр Аксай-5, Б. Момышулы 25",2,2/9,2-комнатная квартира · 55 м² · 2/9 этаж,Other,55.0,763636.3636363636
2-комнатная квартира,21000000,43.9 м²,Абая 25 25 — Жансугурова,2,3/5,2-комнатная квартира · 43.9 м² · 3/5 этаж,Other,43.9,478359.9088838269
3-комнатная квартира,23500000,84 м²,"16-й мкр , 16 мкрн 49",3,12/12,3-комнатная квартира · 84 м² · 12/12 этаж,Other,84.0,279761.90476190473
2-комнатная квартира,10500000,54.4 м²,Пр. республики 11 — Маг. Парадис,2,4/4,2-комнатная квартира · 54.4 м² · 4/4 этаж,Other,54.4,193014.70588235295
2-комнатная квартира,9800000,50 м²,Ақмешіт 23,2,4/5,2-комнатная квартира · 50 м² · 4/5 этаж,Other,50.0,196000.0
1-комнатная квартира,9500000,36 м²,Мынбұлақ 50,1,3/5,1-комнатная квартира · 36 м² · 3/5 этаж,Other,36.0,263888.8888888889
2-комнатная квартира,46000000,66 м²,"Алмалинский р-н, Брусиловского 167 — Брусиловского/Шакарима",2,17/19,2-комнатная квартира · 66 м² · 17/19 этаж,Other,66.0,696969.696969697
1-комнатная квартира,35000000,44 м²,"Ауэзовский р-н, Утеген батыра",1,6/13,1-комнатная квартира · 44 м² · 6/13 этаж,Other,44.0,795454.5454545454
2-комнатная квартира,29000000,69 м²,"мкр Нурсая, Т. Жумагалиева — 5 подъезд",2,2/10,2-комнатная квартира · 69 м² · 2/10 этаж,Other,69.0,420289.85507246375
2-комнатная квартира,40000000,45 м²,"Бостандыкский р-н, Арайлы 12 — РЕМИЗОВКА",2,7/8,2-комнатная квартира · 45 м² · 7/8 этаж,Other,45.0,888888.8888888889
3-комнатная квартира,20000000,65 м²,"мкр 4, 4 мик 10а 10а",3,9/10,3-комнатная квартира · 65 м² · 9/10 этаж,Other,65.0,307692.3076923077
2-комнатная квартира,31900000,81 м²,Кунаева 39,2,14/15,2-комнатная квартира · 81 м² · 14/15 этаж,Other,81.0,393827.16049382713
2-комнатная квартира,66000000,76.7 м²,"Бостандыкский р-н, Ходжанова",2,14/20,2-комнатная квартира · 76.7 м² · 14/20 этаж,Other,76.7,860495.4367666232
3-комнатная квартира,66500000,100.3 м²,"Есильский р-н, Улы Дала 18-22",3,4/5,3-комнатная квартира · 100.3 м² · 4/5 этаж,Other,100.3,663010.967098704
3-комнатная квартира,31900000,59 м²,"Есильский р-н, Керей Жанибек 9",3,8/9,3-комнатная квартира · 59 м² · 8/9 этаж,Other,59.0,540677.966101695
1-комнатная квартира,16000000,37 м²,"Аль-Фарабийский р-н, 17-й микрорайон, 17-й микрорайон 9а — Дом находится за магазином Магнум",1,2/5,1-комнатная квартира · 37 м² · 2/5 этаж,Other,37.0,432432.4324324324
2-комнатная квартира,29800000,43 м²,"Нура р-н, Сыганак 24",2,6/12,2-комнатная квартира · 43 м² · 6/12 этаж,Other,43.0,693023.2558139535
3-комнатная квартира,16000000,48 м²,Муса Жалиля 4,3,2/5,3-комнатная квартира · 48 м² · 2/5 этаж,Other,48.0,333333.3333333333
2-комнатная квартира,46000000,57 м²,"Алматы р-н, Шамши Калдаякова 6",2,8/9,2-комнатная квартира · 57 м² · 8/9 этаж,Other,57.0,807017.5438596491
2-комнатная квартира,30000000,43.7 м²,"Ауэзовский р-н, мкр №9, Шаляпина 24 — Саина",2,4/4,2-комнатная квартира · 43.7 м² · 4/4 этаж,Other,43.7,686498.8558352402
3-комнатная квартира,33000000,67 м²,"Жетысуский р-н, мкр Кемел (Первомайское) 40а — Есимхана 40 а",3,2/5,3-комнатная квартира · 67 м² · 2/5 этаж,Other,67.0,492537.3134328358
1-комнатная квартира,13000000,35.4 м²,Ауэзова 112а — Сорокина,1,2/5,1-комнатная квартира · 35.4 м² · 2/5 этаж,Other,35.4,367231.6384180791
1-комнатная квартира,23000000,31 м²,Кульджинский тракт 156/5 — Кульджинский тракт. Новый Апорт Молл,1,8/12,1-комнатная квартира · 31 м² · 8/12 этаж,Other,31.0,741935.4838709678
2-комнатная квартира,23000000,52.6 м²,"Аль-Фарабийский р-н, Байтурсынова 90 — Байтурсынова-Рыскулова",2,3/5,2-комнатная квартира · 52.6 м² · 3/5 этаж,Other,52.6,437262.35741444863
1-комнатная квартира,11000000,25 м²,"Алматы р-н, Манаса 20/2",1,3/5,1-комнатная квартира · 25 м² · 3/5 этаж,Other,25.0,440000.0
2-комнатная квартира,14500000,48 м²,Ломаносова 24 — Нородная,2,5/5,2-комнатная квартира · 48 м² · 5/5 этаж,Other,48.0,302083.3333333333
3-комнатная квартира,45000000,90 м²,"мкр Жилгородок, Шарипова 26а 2",3,3/8,3-комнатная квартира · 90 м² · 3/8 этаж,Other,90.0,500000.0
2-комнатная квартира,35000000,54 м²,Аэропортная 62,2,6/9,2-комнатная квартира · 54 м² · 6/9 этаж,Other,54.0,648148.1481481482
3-комнатная квартира,35500000,68 м²,"Сарайшык р-н, Нажимеденова — Азербаева",3,8/9,3-комнатная квартира · 68 м² · 8/9 этаж,Other,68.0,522058.82352941175
2-комнатная квартира,13000000,50 м²,8-й мкр 8,2,5/7,2-комнатная квартира · 50 м² · 5/7 этаж,Other,50.0,260000.0
1-комнатная квартира,9700000,32 м²,"мкр Акбулым, Мкр самал 31 — Сейфулина Бауржан Момышұлы",1,5/5,1-комнатная квартира · 32 м² · 5/5 этаж,Other,32.0,303125.0
3-комнатная квартира,80000000,88 м²,"14-й мкр, 14 микрарайон 99 — Набережная",3,4/4,3-комнатная квартира · 88 м² · 4/4 этаж,Other,88.0,909090.9090909091
1-комнатная квартира,9000000,32 м²,"мкр Жетысу, Жетысу 27",1,1/4,1-комнатная квартира · 32 м² · 1/4 этаж,Other,32.0,281250.0
2-комнатная квартира,12000000,46 м²,Лачугина 5,2,2/4,2-комнатная квартира · 46 м² · 2/4 этаж,Other,46.0,260869.5652173913
1-комнатная квартира,17900000,30 м²,Теплый пляж — Рядом Rixos,1,9/9,1-комнатная квартира · 30 м² · 9/9 этаж,Other,30.0,596666.6666666666
2-комнатная квартира,15500000,42 м²,"Сарыарка р-н, маскеу — женис",2,3/4,2-комнатная квартира · 42 м² · 3/4 этаж,Other,42.0,369047.61904761905
3-комнатная квартира,76000000,90 м²,"Есильский р-н, А. Бокейханова",3,9/10,3-комнатная квартира · 90 м² · 9/10 этаж,Other,90.0,844444.4444444445
3-комнатная квартира,50900000,94 м²,"Казыбек би р-н, мкр Юго-Восток, Б. Ашимова 17",3,2/10,3-комнатная квартира · 94 м² · 2/10 этаж,Other,94.0,541489.3617021276
2-комнатная квартира,42000000,52 м²,"Ауэзовский р-н, мкр №2",2,5/10,2-комнатная квартира · 52 м² · 5/10 этаж,Other,52.0,807692.3076923077
3-комнатная квартира,28500000,70 м²,"Казыбек би р-н, мкр Юго-Восток, Букетова 3/3",3,11/13,3-комнатная квартира · 70 м² · 11/13 этаж,Other,70.0,407142.85714285716
2-комнатная квартира,48000000,61 м²,"Бостандыкский р-н, проспект Абая 202 — Тлендиева",2,2/8,2-комнатная квартира · 61 м² · 2/8 этаж,Other,61.0,786885.2459016393
1-комнатная квартира,17800000,42 м²,"Алматы р-н, Трасса Астана-Караганда 23 — На Карагандинской трассе, напротив Метро",1,4/9,1-комнатная квартира · 42 м² · 4/9 этаж,Other,42.0,423809.5238095238
1-комнатная квартира,22990000,38 м²,"Есильский р-н, Бухаржырау 42 — Аль Фараби",1,3/10,1-комнатная квартира · 38 м² · 3/10 этаж,Other,38.0,605000.0
2-комнатная квартира,43000000,55 м²,"мкр Ак Шагала, Мкр. Ак Шагала",2,2/4,2-комнатная квартира · 55 м² · 2/4 этаж,Other,55.0,781818.1818181818
1-комнатная квартира,16500000,40.9 м²,"Сарыарка р-н, Потанина 3/2",1,8/10,1-комнатная квартира · 40.9 м² · 8/10 этаж,Other,40.9,403422.98288508557
3-комнатная квартира,19200000,62 м²,Космическая 16,3,2/5,3-комнатная квартира · 62 м² · 2/5 этаж,Other,62.0,309677.4193548387
3-комнатная квартира,30000000,84 м²,Акан Сери 45/1,3,2/9,3-комнатная квартира · 84 м² · 2/9 этаж,Other,84.0,357142.85714285716
